om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
5,1950,1,25,1/25/1950,19:30:00,3,MO,29,2,2,5,0,5,0,37.6,-90.68,37.63,-90.65,2.3,300,1,1,1,93,0,0,0,0
1,1950,1,3,1/3/1950,11:00:00,3,MO,29,1,3,3,0,6,0,38.77,-90.22,38.83,-90.03,9.5,150,2,0,1,0,0,0,0,0
140,1950,6,15,6/15/1950,1:00:00,3,MO,29,4,1,0,0,3,0,39.7,-92.07,0,0,0.2,100,1,1,1,205,0,0,0,0
133,1950,6,9,6/9/1950,13:00:00,3,MO,29,3,1,0,0,3,0,38,-92.22,38.02,-92.17,2.7,220,1,1,1,169,0,0,0,0
170,1950,7,19,7/19/1950,16:00:00,3,MO,29,5,1,0,0,2,0,38.42,-92.77,0,0,1.5,440,1,1,1,141,0,0,0,0
181,1950,8,8,8/8/1950,1:00:00,3,MO,29,6,1,0,0,2,0,37.13,-93.38,0,0,2,10,1,1,1,77,0,0,0,0
242,1951,11,13,11/13/1951,13:30:00,3,MO,29,6,3,1,0,4,0,36.62,-89.75,0,0,1,27,1,1,1,143,0,0,0,0
87,1951,5,25,5/25/1951,21:00:00,3,MO,29,1,1,0,0,3,0,40.4,-95.17,0,0,0.2,10,1,1,1,147,0,0,0,0
130,1951,6,8,6/8/1951,17:45:00,3,MO,29,2,1,0,0,3,0,37.93,-91.88,0,0,0.1,10,1,1,1,161,0,0,0,0
180,1951,7,4,7/4/1951,1:00:00,3,MO,29,3,2,1,0,5,0,37.15,-94.47,0,0,0.1,100,1,1,1,97,0,0,0,0
186,1951,7,8,7/8/1951,20:15:00,3,MO,29,4,2,0,0,4,0,39.22,-94.02,39.25,-94.02,2.3,100,1,1,1,177,0,0,0,0
188,1951,7,9,7/9/1951,23:45:00,3,MO,29,5,1,0,0,2,0,36.55,-91.7,0,0,2,440,1,1,1,91,0,0,0,0
233,1952,11,16,11/16/1952,16:00:00,3,MO,29,9,3,2,0,4,0,40.45,-95.07,40.57,-94.68,21.6,600,1,1,1,147,0,0,0,0
17,1952,2,13,2/13/1952,17:10:00,3,MO,29,1,2,0,0,3,0,36.07,-89.93,36.15,-89.87,6.8,100,1,1,1,155,0,0,0,0
48,1952,3,18,3/18/1952,17:25:00,3,MO,29,2,2,1,0,4,0,37.75,-90.5,37.88,-90.22,18.4,100,1,1,1,187,186,0,0,0
51,1952,3,18,3/18/1952,18:30:00,3,MO,29,3,2,0,0,4,0,37.37,-89.78,37.45,-89.73,6.2,500,1,1,1,31,0,0,0,0
68,1952,3,21,3/21/1952,20:00:00,3,MO,29,4,4,100,17,6,0,36.05,-89.82,36.07,-89.7,6.5,880,1,1,1,155,0,0,0,0
139,1952,5,22,5/22/1952,19:00:00,3,MO,29,6,2,1,0,5,0,38.9,-94.27,38.93,-94.23,1.3,440,1,1,1,95,0,0,0,0
